entity_id,name,cik,lei,wikidata_qid,ticker,subsector,parent_id,richness,coverage_flag,gov_cloud_likelihood,aliases,collision_terms,notes,owning_seller
E0001,NextEra Energy,0000753308,,,NEE,iou_electric,,high,edgar-visible,possible,,,,
E0002,Duke Energy,0001326160,,,DUK,iou_electric,,high,edgar-visible,possible,,,,
E0003,Southern Company,0000092122,,,SO,iou_electric,,high,edgar-visible,possible,,,,
E0004,Dominion Energy,0000715957,,,D,iou_electric,,high,edgar-visible,possible,,,,
E0005,American Electric Power,0000004904,,,AEP,iou_electric,,high,edgar-visible,possible,,,,
E0006,Exelon,0001109357,,,EXC,iou_electric,,high,edgar-visible,possible,,,,
E0007,Constellation Energy,0001868275,,,CEG,iou_electric,,high,edgar-visible,possible,,,,
E0008,PG&E,0001004980,,,PCG,iou_electric,,high,edgar-visible,possible,,,,
E0009,Edison International,0000827052,,,EIX,iou_electric,,high,edgar-visible,possible,,,,
E0010,Sempra,0001032208,,,SRE,iou_gas,,high,edgar-visible,possible,,,,
E0011,Public Service Enterprise Group,0000788784,,,PEG,iou_electric,,high,edgar-visible,possible,,,,
E0012,Xcel Energy,0000072903,,,XEL,iou_electric,,high,edgar-visible,possible,,,,
E0013,Consolidated Edison,0001047862,,,ED,iou_electric,,high,edgar-visible,possible,,,,
E0014,Entergy,0000065984,,,ETR,iou_electric,,high,edgar-visible,possible,,,,
E0015,FirstEnergy,0001031296,,,FE,iou_electric,,high,edgar-visible,possible,,,,
E0016,WEC Energy Group,0000783325,,,WEC,iou_electric,,high,edgar-visible,possible,,,,
E0017,Eversource Energy,0000072741,,,ES,iou_electric,,high,edgar-visible,possible,,,,
E0018,DTE Energy,0000936340,,,DTE,iou_electric,,high,edgar-visible,possible,,,,
E0019,Ameren,0001002910,,,AEE,iou_electric,,high,edgar-visible,possible,,,,
E0020,PPL Corporation,0000922224,,,PPL,iou_electric,,high,edgar-visible,possible,,,,
E0021,CenterPoint Energy,0001130310,,,CNP,iou_electric,,high,edgar-visible,possible,,,,
E0022,CMS Energy,0000811156,,,CMS,iou_electric,,high,edgar-visible,possible,,,,
E0023,Evergy,0001711269,,,EVRG,iou_electric,,high,edgar-visible,possible,,,,
E0024,AES Corporation,0000874761,,,AES,iou_electric,,high,edgar-visible,possible,,,,
E0025,Alliant Energy,0000352541,,,LNT,iou_electric,,high,edgar-visible,possible,,,,
E0026,NiSource,0001111711,,,NI,iou_gas,,high,edgar-visible,possible,,,,
E0027,Pinnacle West Capital (APS),0000764622,,,PNW,iou_electric,,high,edgar-visible,possible,,,,
E0028,TXNM Energy (PNM),0001108426,,,TXNM,iou_electric,,medium,edgar-visible,possible,,,,
E0029,OGE Energy,0001021635,,,OGE,iou_electric,,medium,edgar-visible,possible,,,,
E0030,IDACORP,0001057877,,,IDA,iou_electric,,medium,edgar-visible,possible,,,,
E0031,Portland General Electric,0000784977,,,POR,iou_electric,,medium,edgar-visible,possible,,,,
E0032,Hawaiian Electric,0000354707,,,HE,iou_electric,,medium,edgar-visible,possible,,,,
E0033,Avangrid,0001634997,,,AGR,iou_electric,,medium,edgar-visible,possible,,,,
E0034,Black Hills Corp,0001130464,,,BKH,iou_electric,,medium,edgar-visible,possible,,,,
E0035,NorthWestern Energy,0001993004,,,NWE,iou_electric,,medium,edgar-visible,possible,,,,
E0036,ALLETE,0000066756,,,ALE,iou_electric,,medium,edgar-visible,possible,,,taken private 2025 - may cease EDGAR filing,
E0037,Avista,0000104918,,,AVA,iou_electric,,medium,edgar-visible,possible,,,,
E0038,Otter Tail,0001466593,,,OTTR,iou_electric,,low,edgar-visible,unlikely,,,,
E0039,MGE Energy,0001161728,,,MGEE,iou_electric,,low,edgar-visible,unlikely,,,,
E0040,Unitil,0000755001,,,UTL,iou_electric,,low,edgar-visible,unlikely,,,,
E0041,New Jersey Resources,0000356309,,,NJR,iou_gas,,medium,edgar-visible,unlikely,,,,
E0042,Southwest Gas Holdings,0001692115,,,SWX,iou_gas,,medium,edgar-visible,possible,,,,
E0043,Spire,0001126956,,,SR,iou_gas,,medium,edgar-visible,unlikely,,,,
E0044,National Fuel Gas,0000070145,,,NFG,iou_gas,,medium,edgar-visible,unlikely,,,,
E0045,Atmos Energy,0000731802,,,ATO,iou_gas,,medium,edgar-visible,unlikely,,,,
E0046,PNM Resources,0000022767,,,PNM,iou_electric,,medium,edgar-visible,possible,,,CIK maps to Texas-New Mexico Power subsidiary; parent = TXNM Energy,
E0047,Basin Electric Power Cooperative,,,,,coop_gt,,low,dark,possible,,,,
E0048,Tri-State Generation & Transmission,,,,,coop_gt,,low,dark,possible,,,,
E0049,Oglethorpe Power,,,,,coop_gt,,low,dark,possible,,,,
E0050,Great River Energy,,,,,coop_gt,,low,dark,possible,,,,
E0051,Central Electric Power Cooperative (SC),,,,,coop_gt,,low,dark,possible,,,,
E0052,Associated Electric Cooperative (AECI),,,,,coop_gt,,low,dark,possible,,,,
E0053,PowerSouth Energy Cooperative,,,,,coop_gt,,low,dark,possible,,,,
E0054,Seminole Electric Cooperative,,,,,coop_gt,,low,dark,possible,,,,
E0055,Old Dominion Electric Cooperative,,,,,coop_gt,,low,dark,possible,,,,
E0056,Buckeye Power,,,,,coop_gt,,low,dark,possible,,,,
E0057,Dairyland Power Cooperative,,,,,coop_gt,,low,dark,possible,,,,
E0058,Arkansas Electric Cooperative Corp,,,,,coop_gt,,low,dark,possible,,,,
E0059,Wabash Valley Power,,,,,coop_gt,,low,dark,possible,,,,
E0060,Georgia Transmission Corporation,,,,,coop_transmission,,low,dark,possible,,,,
E0061,Pedernales Electric Cooperative,,,,,coop_distribution,,low,dark,unlikely,,,,
E0062,Tennessee Valley Authority (TVA),,,,,federal,,medium,dark,likely,,,,
E0063,Bonneville Power Administration (BPA),,,,,federal_pma,,low,dark,likely,,,,
E0064,Western Area Power Administration (WAPA),,,,,federal_pma,,low,dark,likely,,,,
E0065,Salt River Project (SRP),,,,,muni_public,,low,dark,possible,,,,
E0066,Los Angeles Dept of Water & Power (LADWP),,,,,muni_public,,low,dark,possible,,,,
E0067,CPS Energy,,,,,muni_public,,low,dark,possible,,,,
E0068,Santee Cooper,,,,,state_owned,,low,dark,possible,,,,
E0069,New York Power Authority (NYPA),,,,,state_authority,,low,dark,likely,,,,
E0070,Sacramento Municipal Utility District (SMUD),,,,,muni_public,,low,dark,possible,,,,
E0071,Austin Energy,,,,,muni_public,,low,dark,possible,,,,
E0072,Puerto Rico Electric Power Authority (PREPA),,,,,public,,low,dark,possible,,,,
E0073,JEA,,,,,muni_public,,low,dark,unlikely,,,,
E0074,Omaha Public Power District,,,,,public,,low,dark,possible,,,,
E0075,Nebraska Public Power District,,,,,public,,low,dark,possible,,,,
E0076,Long Island Power Authority (LIPA),,,,,public,,low,dark,possible,,,,
E0077,Colorado Springs Utilities,,,,,muni_public,,low,dark,unlikely,,,,
E0078,Seattle City Light,,,,,muni_public,,low,dark,unlikely,,,,
E0079,Grand River Dam Authority,,,,,state_authority,,low,dark,possible,,,,
E0080,Lower Colorado River Authority (LCRA),,,,,state_authority,,low,dark,possible,,,,
E0081,ExxonMobil,0002115436,,,XOM,og_major,,high,edgar-visible,possible,,,,
E0082,Chevron,0000093410,,,CVX,og_major,,high,edgar-visible,possible,,,,
E0083,ConocoPhillips,0001163165,,,COP,og_ep,,high,edgar-visible,possible,,,,
E0084,EOG Resources,0000821189,,,EOG,og_ep,,high,edgar-visible,unlikely,,,,
E0085,Occidental Petroleum,0000797468,,,OXY,og_ep,,high,edgar-visible,possible,,,,
E0086,Expand Energy,0000895126,,,EXE,og_ep,,high,edgar-visible,unlikely,,,,
E0087,EQT Corporation,0000033213,,,EQT,og_ep,,high,edgar-visible,unlikely,,,,
E0088,Devon Energy,0001090012,,,DVN,og_ep,,high,edgar-visible,unlikely,,,,
E0089,Coterra Energy,0000858470,,,CTRA,og_ep,,high,edgar-visible,unlikely,,,,
E0090,Diamondback Energy,0001539838,,,FANG,og_ep,,high,edgar-visible,unlikely,,,,
E0091,Antero Resources,0001433270,,,AR,og_ep,,high,edgar-visible,unlikely,,,,
E0092,Range Resources,0000315852,,,RRC,og_ep,,high,edgar-visible,unlikely,,,,
E0093,Chord Energy,0001486159,,,CHRD,og_ep,,high,edgar-visible,unlikely,,,,
E0094,Permian Resources,0001658566,,,PR,og_ep,,high,edgar-visible,unlikely,,,,
E0095,Ovintiv,0001792580,,,OVV,og_ep,,high,edgar-visible,unlikely,,,,
E0096,APA Corporation,0001841666,,,APA,og_ep,,high,edgar-visible,unlikely,,,,
E0097,Hess Corporation,0000004447,,,HES,og_ep,,high,edgar-visible,possible,,,,
