product_id,tier,included_or_addon,addon_price_note,upgrade_path,gcc_high,source_quality,verified_date,source_url
suite_m365_e3,baseline,suite,$39/user/mo (was $36; +Jul 1 2026),n/a,yes (G3),primary,2026-08-11,https://www.microsoft.com/en-us/licensing/news/2026-M365-Packaging-Pricing-Updates
suite_m365_e5,baseline,suite,$60/user/mo (was $57),E3->E5 full upgrade,yes (G5),primary,2026-08-11,https://www.microsoft.com/en-us/licensing/news/2026-M365-Packaging-Pricing-Updates
suite_m365_e7,baseline,suite,$99/user/mo ($90.45 no-Teams); E5+M365 Copilot+Entra Suite+Agent 365,E5->E7 upgrade ($39 delta),unverified for gov,primary,2026-08-11,https://blogs.microsoft.com/blog/2026/03/09/introducing-the-first-frontier-suite-built-on-intelligence-trust/
suite_e5_security_addon,addon_to_e3,addon,~$12/user/mo (= Defender Suite standalone),E3 + E5 Security addon (cheapest security step-up),yes,non-primary,2026-08-11,https://atonementlicensing.com/blog/defender-xdr-suite-pricing/
suite_e5_compliance_addon,addon_to_e3,addon,~$12/user/mo (= Purview Suite standalone),E3 + E5 Compliance addon,yes (feature gaps),non-primary,2026-08-11,https://www.microsoft.com/en-us/licensing/news/2026-M365-Packaging-Pricing-Updates
suite_business_premium,baseline,suite,$22/user/mo (unchanged),SMB path; +Defender/Purview SMB addons,limited,primary,2026-08-11,https://www.microsoft.com/en-us/licensing/news/2026-M365-Packaging-Pricing-Updates
suite_f3,baseline,suite,$10/user/mo (was $8),frontline; FLW equivalents for Agent 365,yes,primary,2026-08-11,https://www.microsoft.com/en-us/licensing/news/2026-M365-Packaging-Pricing-Updates
defender_endpoint_p1,e3,included,included in E3,already owned at E3,yes,primary,2026-08-11,https://www.microsoft.com/en-us/licensing/news/2026-M365-Packaging-Pricing-Updates
defender_endpoint_p1,standalone,standalone,$3/user/mo (was $2.50),standalone only if no M365 suite,yes,non-primary,2026-08-11,https://atonementlicensing.com/blog/defender-xdr-suite-pricing/
defender_endpoint_p2,e5,included,included in E5/E7,E3 -> E5 Security addon OR full E5,yes (not full parity),primary,2026-08-11,https://learn.microsoft.com/en-us/defender-endpoint/gov
defender_endpoint_p2,standalone,standalone,$5.20/user/mo,standalone if addon path blocked,yes,non-primary,2026-08-11,https://redresscompliance.com
defender_for_business,standalone,standalone,$3/user/mo (<=300 users; <=5 devices/user),SMB only; included in Business Premium,limited,non-primary,2026-08-11,https://mscloudexplorers.com/microsoft-defender-for-business-guide-2026/
