entity_id,cik,lei,wikidata_qid,method,verified_at
E0001,,,Q967868,wikidata_cik,2026-08-11
E0002,,549300V2JP2VCL6GG287,Q1264404,wikidata_cik,2026-08-11
E0003,,549300FC3G3YU2FBZD92,Q2304693,wikidata_cik,2026-08-11
E0004,,ILUL7B6Z54MRYCF6H308,Q677464,wikidata_cik,2026-08-11
E0005,,1B4S6S7G0TW5EE83BO58,Q464092,wikidata_cik,2026-08-11
E0006,,3SOUA6IRML7435B56G12,Q1383669,wikidata_cik,2026-08-11
E0007,,GT6ZNWW1ZDHTC15ORD42,,gleif_exact_name,2026-08-11
E0008,,8YQ2GSDWYZXO2EDN3511,Q108535726,wikidata_cik,2026-08-11
E0009,,549300I7ROF15MAEVP56,Q662095,wikidata_cik,2026-08-11
E0010,,PBBKGKLRK5S5C0Y4T545,Q7449804,wikidata_cik,2026-08-11
E0011,,549300RUHPVD434XUK18,Q930919,wikidata_cik,2026-08-11
E0012,,LGJNMI9GH8XIDG5RCM61,Q1486956,wikidata_cik,2026-08-11
E0013,,54930033SBW53OO8T749,Q1127536,wikidata_cik,2026-08-11
E0014,,4XM3TW50JULSLG8BNC79,Q1344587,wikidata_cik,2026-08-11
E0015,,549300SVYJS666PQJH88,Q1419248,wikidata_cik,2026-08-11
E0016,,549300IGLYTZUK3PVP70,Q8027166,wikidata_cik,2026-08-11
E0017,,SJ7XXD41SQU3ZNWUJ746,Q3344199,wikidata_cik,2026-08-11
E0018,,549300IX8SD6XXD71I78,Q5206232,wikidata_cik,2026-08-11
E0019,,XRZQ5S7HYJFPHJ78L959,Q462984,wikidata_cik,2026-08-11
E0020,,9695007GAMZC1CRG7829,Q2044512,wikidata_cik,2026-08-11
E0021,,21TPXMRRHFKOBHDC8J74,Q1053560,wikidata_cik,2026-08-11
E0022,,549300IA9XFBAGNIBW29,Q5013012,wikidata_cik,2026-08-11
E0023,,549300PGTHDQY6PSUI61,Q7987107,wikidata_cik,2026-08-11
E0024,,2NUNNB7D43COUIRE5295,Q291508,wikidata_cik,2026-08-11
E0025,,JZGA4Z7N0BQVZ44QVC53,Q4732492,wikidata_cik,2026-08-11
E0026,,549300D8GOWWH0SJB189,Q1984481,wikidata_cik,2026-08-11
E0027,,TWSEY0NEDUDCKS27AH81,Q26110522,wikidata_cik,2026-08-11
E0028,,5493003JOBJGLZSDDQ28,Q7119849,wikidata_cik,2026-08-11
E0029,,CE5OG6JPOZMDSA0LAQ19,Q2007484,gleif_exact_name+wikidata_lei,2026-08-11
E0030,,N134NUJDWN8UEFA8B673,Q5987232,wikidata_cik,2026-08-11
E0031,,GJOUP9M7C39GLSK9R870,Q7231939,gleif_exact_name+wikidata_lei,2026-08-11
E0032,,JJ8FWOCWCV22X7GUPJ23,Q5684524,wikidata_cik,2026-08-11
