trigger_id,name,description,base_strength,decay_half_life_days,mvp_flag,evidence_quality,primary_sources
nerc_cip_revision,NERC CIP revision,New/modified mandatory CIP standard forces INSM/supply-chain/control-center controls,5,600,1,IR,"NERC.gov;Federal Register API;FERC"
nerc_enforcement,NERC CIP enforcement action,"NOP/settlement with dollar penalty naming the violated CIP standard; peer-shaming outreach trigger (URE-anonymized by default - attribution gated)",5,365,1,IR,"NERC.gov Enforcement;FERC eLibrary"
tsa_security_directive,TSA pipeline/rail Security Directive,Mandatory OT/IT segmentation MFA continuous monitoring incident reporting for critical pipelines,5,365,1,IR,"TSA.gov;Federal Register API"
sec_cyber_disclosure,SEC cyber disclosure,Material incident 8-K Item 1.05 (4-day) or 10-K Item 1C annual governance/risk disclosure,4,300,0,IR,"SEC EDGAR full-text API"
own_incident,Own disclosed incident,Company's own breach/ransomware publicly disclosed,5,270,0,PC,"SEC 8-K;state AG breach DBs;security RSS"
peer_incident,Peer/sector incident,Comparable company in same subsector breached,3,135,0,PC,"ransomware.live;RansomLook;security RSS;GDELT"
leadership_change,Leadership change (CISO/CIO/CTO),"Security leader hired; reviews stack in first ~90 days. Note: most CISO hires never hit an 8-K (Section-16 only) - press wires are primary channel",4,90,1,PC,"press-wire RSS;SEC 8-K 5.02;DEF 14A"
ma_divestiture,M&A / divestiture,Acquisition or divestiture triggers security due diligence and integration,4,300,0,PC,"SEC 8-K/S-4;press wires;GDELT"
capital_project,Capital project / new facility,New plant LNG terminal or datacenter creates new OT and attack surface,3,540,1,PC,"earnings calls;10-K;EIA;press"
cloud_ai_adoption,Cloud/AI adoption announcement,Public cloud migration or AI/agent rollout,3,270,0,VM,"earnings;press;10-K;job posts"
risk_factor_change,10-K/10-Q risk-factor change,New or expanded cyber risk-factor wording vs prior year,3,365,0,PC,"SEC EDGAR full-text diff"
cyber_insurance_event,Cyber insurance event,Premium hike coverage denial or control requirement,3,270,0,VM,"news;earnings commentary"
audit_consent_decree,Audit finding / consent decree,Regulator or auditor finding FERC/NERC penalty or consent decree (non-CIP),4,540,0,PC,"FERC;NERC;news"
competitor_eol_renewal,Competitor product EOL/renewal,Incumbent tool EOL or renewal window,3,135,0,VM,"vendor notices;job posts;tech-stack signals"
security_hiring_surge,Security hiring surge (esp. OT),Spike in OT/ICS security job postings,3,135,0,VM,"company careers pages;Adzuna;USAJOBS"
layoffs_consolidation,Layoffs / consolidation,SOC headcount cuts creating automation/consolidation pressure,2,180,0,VM,"WARN notices;news;earnings"
named_apt_targeting,Named APT targeting sector,Govt or vendor attribution of nation-state campaign vs energy/OT,4,270,0,PC,"CISA advisories;DHS;vendor TI"
ics_cve_kev,ICS-specific CVE / KEV addition,New exploited vuln in a product the account is known to run,3,135,0,IR,"CISA KEV;NVD API;CISA ICS advisories"
rate_case_capex,Rate case / grid-modernization capex,Approved rate case funding grid/OT modernization,3,540,0,PC,"FERC;state PUC dockets;earnings"
license_upsell_window,Copilot/M365 E5->E7 upsell window,Existing M365 estate plus AI push creates E7/Agent 365 candidacy,3,270,0,VM,"job posts;press;license data"
exec_ai_advocacy,Executive AI advocacy,CEO/CIO publicly touts AI/agent usage,2,135,0,VM,"earnings;press"
